n1,n2,weight,t
23,3,0.627821712,15
23,4,0.64049076,15
25,9,0.403298028,15
25,14,0.43637832,15
25,11,0.521542476,15
25,3,0.871348968,15
25,12,0.66160584,15
25,15,3.511437804,15
5,1,0.19003572,15
5,18,2.21004504,15
5,9,1.50620904,15
5,14,0.67568256,15
5,10,2.94203448,15
5,11,0.73198944,15
5,3,0.6334524,15
5,4,0.15484392,15
5,6,0.32376456,15
5,15,0.11261376,15
9,1,0.136544184,15
9,2,0.720024228,15
9,21,0.968478336,15
9,14,1.43582544,15
9,10,0.588406896,15
9,11,0.945955584,15
9,16,0.225931356,15
9,4,2.001005748,15
9,6,0.84108402,15
9,15,0.087275664,15
9,3,0.5630688,15
14,1,0.97129368,15
14,2,0.23930424,15
14,8,0.09149868,15
14,10,5.55326604,15
14,11,1.16836776,15
14,3,2.99834136,15
14,4,0.6334524,15
14,6,4.20893928,15
14,12,0.57010716,15
14,15,0.33784128,15
10,1,0.256196304,15
10,2,0.171735984,15
10,13,0.419486256,15
10,20,0.6862401,15
10,21,0.74958534,15
10,17,3.816198792,15
10,11,1.138102812,15
10,16,0.606002796,15
10,4,0.625006368,15
10,6,0.254788632,15
10,3,2.003117256,15
11,2,0.11613294,15
11,8,0.413855568,15
11,3,1.274646996,15
11,6,1.625157324,15
11,15,0.950882436,15
3,1,0.463827924,15
3,2,0.430747632,15
3,13,0.131617332,15
3,4,0.500427396,15
3,6,0.95721696,15
3,12,1.181740644,15
3,15,0.669348036,15
3,7,0.096425532,15
4,2,0.099944712,15
4,13,0.806596056,15
4,18,1.644864732,15
4,20,0.657382824,15
4,21,0.90091008,15
4,17,1.402745148,15
4,6,0.16188228,15
4,16,0.349102656,15
4,7,2.86461252,15
6,1,1.176813792,15
6,2,0.60177978,15
6,8,0.219596832,15
6,13,0.53843454,15
6,21,0.238600404,15
6,17,0.501835068,15
6,15,0.3871098,15
12,1,0.665828856,15
12,8,0.315318528,15
12,7,0.132321168,15
15,2,0.095721696,15
15,16,0.35895636,15
2,13,0.143582544,15
2,18,0.71791272,15
2,21,1.22467464,15
13,17,0.40118652,15
22,2,0.153239,16
22,13,0.153239,16
22,19,0.153239,16
22,7,0.153239,16
22,17,0.153239,16
22,3,0.153239,16
19,7,0.153239,16
19,16,0.153239,16
19,20,0.153239,16
19,5,0.153239,16
19,3,1.379151,16
19,4,0.153239,16
19,24,2.605063,16
24,1,2.758302,16
24,8,0.612956,16
23,1,0.153239,16
23,2,0.153239,16
23,7,0.612956,16
23,20,0.306478,16
23,12,0.459717,16
23,15,0.153239,16
25,12,0.153239,16
25,2,0.153239,16
25,7,0.306478,16
25,21,0.153239,16
5,18,0.306478,16
5,20,0.153239,16
5,9,5.056887,16
5,14,0.919434,16
5,10,1.072673,16
9,1,0.612956,16
9,13,0.153239,16
9,20,0.459717,16
9,14,2.298585,16
9,10,3.371258,16
14,1,0.153239,16
14,18,0.153239,16
14,7,0.153239,16
14,16,0.153239,16
14,20,0.153239,16
14,21,0.306478,16
14,17,0.153239,16
14,10,2.451824,16
14,11,0.153239,16
10,13,0.153239,16
10,18,0.459717,16
10,21,0.153239,16
10,12,0.153239,16
10,15,0.306478,16
11,1,0.153239,16
11,13,0.153239,16
11,18,0.153239,16
11,21,0.153239,16
11,3,0.919434,16
11,6,0.766195,16
11,15,0.459717,16
3,20,0.766195,16
3,4,1.838868,16
3,6,1.072673,16
3,15,1.072673,16
4,13,0.153239,16
4,16,0.459717,16
4,6,0.153239,16
4,15,0.766195,16
6,13,0.306478,16
6,18,0.306478,16
6,20,0.153239,16
12,1,5.823082,16
12,2,3.830975,16
12,13,4.59717,16
12,20,1.072673,16
1,2,1.225912,16
1,13,1.685629,16
1,18,0.459717,16
1,20,0.919434,16
1,17,0.153239,16
1,16,0.766195,16
1,7,0.153239,16
2,13,1.072673,16
2,16,0.153239,16
2,20,1.225912,16
8,20,6.436038,16
8,18,4.290692,16
8,16,2.451824,16
8,7,1.53239,16
13,18,0.153239,16
13,16,0.612956,16
13,20,0.919434,16
18,7,1.225912,16
18,16,0.153239,16
18,20,2.911541,16
7,16,0.306478,16
7,21,0.306478,16
7,20,1.225912,16
16,20,0.153239,16
20,17,0.153239,16
21,17,10.113774,16
5,9,7.107241789,17
5,14,3.814800158,17
5,10,0.981400871,17
5,11,0.443213296,17
5,3,1.00514444,17
5,6,0.522358528,17
9,14,0.656905421,17
9,10,1.400870598,17
9,11,0.174119509,17
9,3,0.166204986,17
9,6,0.047487139,17
14,10,2.208151959,17
14,11,0.071230708,17
14,3,0.387811634,17
14,6,0.015829046,17
10,3,0.514444005,17
10,6,0.007914523,17
11,3,0.261179264,17
11,6,0.071230708,17
3,6,0.142461417,17
5,9,1.328297328,18
5,14,1.76660397,18
5,10,2.765187684,18
5,11,0.87740019,18
5,3,0.400535154,18
9,14,1.300755618,18
9,10,0.31869693,18
9,11,2.090022336,18
9,3,1.163833974,18
14,10,0.660214134,18
14,11,0.774315504,18
14,3,0.677526066,18
10,11,0.158955012,18
10,3,0.21639915,18
11,3,0.501259122,18
5,9,0.838709677,19
5,10,1.258064516,19
5,11,0.419354839,19
9,12,1.258064516,19
14,10,1.258064516,19
14,3,1.258064516,19
11,12,0.419354839,19
11,6,1.258064516,19
3,15,0.838709677,19
3,6,1.258064516,19
4,12,1.258064516,19
4,15,1.258064516,19
4,6,0.419354839,19
5,9,2.275641026,2
5,14,0.769230769,2
5,10,1.282051282,2
5,3,2.243589744,2
9,14,0.032051282,2
9,10,0.096153846,2
9,3,0.993589744,2
14,10,0.256410256,2
14,3,0.993589744,2
10,3,1.057692308,2
19,10,1.158990536,3
19,8,1.05362776,3
19,13,1.05362776,3
24,9,0.842902208,3
24,18,5.689589905,3
24,6,2.423343849,3
5,2,0.316088328,3
5,8,0.210725552,3
5,13,0.105362776,3
5,18,0.210725552,3
5,7,0.632176656,3
5,16,1.58044164,3
5,20,1.264353312,3
5,21,0.421451104,3
5,17,0.316088328,3
5,9,4.319873817,3
5,14,2.528706625,3
5,10,2.317981073,3
5,11,1.05362776,3
5,3,3.055520505,3
5,4,0.421451104,3
5,6,0.948264984,3
5,15,0.421451104,3
9,1,1.264353312,3
9,2,0.632176656,3
9,8,0.210725552,3
9,13,0.210725552,3
9,18,1.685804416,3
9,16,1.264353312,3
9,20,1.475078864,3
9,21,0.210725552,3
9,17,1.05362776,3
9,14,3.793059937,3
9,10,1.58044164,3
9,11,1.264353312,3
9,3,2.423343849,3
9,4,0.421451104,3
9,6,3.793059937,3
9,12,0.105362776,3
9,15,0.210725552,3
9,7,1.05362776,3
14,1,1.685804416,3
14,2,0.52681388,3
14,8,0.210725552,3
14,18,1.369716088,3
14,7,0.737539432,3
14,16,0.948264984,3
14,20,0.421451104,3
14,21,0.210725552,3
14,17,0.632176656,3
14,10,2.950157729,3
14,11,3.160883281,3
14,3,1.896529969,3
14,4,0.316088328,3
14,6,0.842902208,3
14,12,0.210725552,3
14,15,1.58044164,3
10,1,0.210725552,3
10,2,0.421451104,3
10,8,0.316088328,3
10,13,0.52681388,3
10,7,0.210725552,3
10,16,1.05362776,3
10,20,0.52681388,3
10,21,0.421451104,3
10,17,0.316088328,3
10,11,1.791167192,3
10,3,1.05362776,3
10,4,0.632176656,3
10,6,1.264353312,3
10,12,0.421451104,3
10,18,1.05362776,3
10,15,0.421451104,3
11,1,0.210725552,3
11,8,0.105362776,3
11,13,0.105362776,3
11,18,1.05362776,3
11,7,0.737539432,3
11,16,1.369716088,3
11,20,0.737539432,3
11,21,0.316088328,3
11,17,0.105362776,3
11,3,0.316088328,3
11,6,1.475078864,3
3,2,0.316088328,3
3,18,0.632176656,3
3,7,0.52681388,3
3,16,1.158990536,3
3,20,0.737539432,3
3,4,0.316088328,3
3,6,0.316088328,3
4,2,0.948264984,3
4,8,0.316088328,3
4,13,0.316088328,3
4,18,0.52681388,3
4,7,1.685804416,3
4,20,0.105362776,3
4,21,0.52681388,3
4,6,0.421451104,3
4,12,1.475078864,3
4,15,1.685804416,3
6,1,0.52681388,3
6,2,0.421451104,3
6,8,0.105362776,3
6,13,0.105362776,3
6,18,2.212618297,3
6,16,4.530599369,3
6,20,1.264353312,3
6,21,0.316088328,3
6,17,6.532492114,3
6,12,0.737539432,3
6,15,0.316088328,3
6,7,1.05362776,3
12,1,0.421451104,3
12,2,0.842902208,3
12,8,0.52681388,3
12,13,0.105362776,3
12,18,0.421451104,3
12,7,2.844794953,3
12,16,0.210725552,3
12,21,0.421451104,3
12,15,1.896529969,3
15,1,0.105362776,3
15,2,2.950157729,3
15,8,1.58044164,3
15,13,2.107255521,3
15,18,0.948264984,3
15,7,1.05362776,3
15,16,0.210725552,3
15,20,0.210725552,3
15,21,0.737539432,3
1,2,0.210725552,3
1,8,0.948264984,3
1,18,0.316088328,3
1,7,0.52681388,3
1,20,0.421451104,3
1,21,0.948264984,3
2,8,0.52681388,3
2,13,0.421451104,3
2,18,1.05362776,3
2,7,0.52681388,3
2,16,0.421451104,3
2,20,0.421451104,3
2,21,0.421451104,3
2,17,0.316088328,3
8,13,1.158990536,3
8,7,1.158990536,3
8,16,0.210725552,3
8,20,0.210725552,3
8,21,0.948264984,3
8,18,2.107255521,3
13,7,0.948264984,3
13,16,0.105362776,3
13,20,0.105362776,3
13,21,0.632176656,3
13,18,0.842902208,3
18,16,0.316088328,3
18,20,0.52681388,3
18,21,1.475078864,3
18,17,1.264353312,3
18,7,2.844794953,3
7,16,0.52681388,3
7,20,0.105362776,3
7,21,0.316088328,3
16,20,3.476971609,3
16,21,0.632176656,3
20,21,2.001892745,3
1,9,2.844358,4
1,10,0.1673152,4
1,4,4.015564,4
1,6,3.346304,4
2,9,6.023346,4
2,14,0.1673152,4
2,10,6.692607,4
2,11,1.338521,4
2,3,1.505837,4
2,4,0.3346304,4
2,6,0.1673152,4
2,12,0.1673152,4
5,9,0.1673152,4
5,14,0.1673152,4
5,10,0.1673152,4
5,11,1.171206,4
5,12,0.3346304,4
5,15,0.1673152,4
9,10,0.8365759,4
9,11,1.003891,4
9,3,1.840467,4
9,4,0.8365759,4
9,6,0.5019455,4
9,12,0.5019455,4
9,15,0.1673152,4
14,10,0.1673152,4
14,12,0.1673152,4
14,15,0.3346304,4
10,11,0.1673152,4
10,3,1.003891,4
10,4,0.1673152,4
10,12,0.1673152,4
11,3,1.003891,4
11,4,0.5019455,4
11,6,0.3346304,4
11,15,0.5019455,4
3,6,0.1673152,4
3,15,0.5019455,4
4,6,1.338521,4
4,12,0.1673152,4
4,15,0.3346304,4
6,15,0.3346304,4
12,15,1.003891,4
1,10,0.149178255,5
1,2,0.298356511,5
1,13,0.149178255,5
2,5,0.149178255,5
2,14,0.298356511,5
8,13,0.074589128,5
8,7,1.193426043,5
8,5,2.610619469,5
8,11,0.820480405,5
8,4,0.149178255,5
8,6,0.223767383,5
13,5,0.074589128,5
13,14,1.342604298,5
13,10,0.298356511,5
13,11,0.074589128,5
13,3,1.640960809,5
13,4,0.223767383,5
13,15,0.596713022,5
7,5,0.149178255,5
7,10,0.223767383,5
7,3,0.074589128,5
7,4,0.074589128,5
7,6,0.074589128,5
7,15,0.223767383,5
5,9,2.461441214,5
5,14,0.298356511,5
5,10,9.547408344,5
5,11,2.90897598,5
5,3,0.149178255,5
5,6,0.671302149,5
5,12,0.96965866,5
5,15,1.268015171,5
9,14,0.745891277,5
9,10,1.790139065,5
9,11,0.372945638,5
14,10,0.895069532,5
14,11,0.298356511,5
14,3,1.93931732,5
14,4,2.983565108,5
14,12,0.149178255,5
10,11,4.326169406,5
10,3,0.149178255,5
10,4,0.074589128,5
10,6,3.580278129,5
10,12,2.013906448,5
10,15,2.013906448,5
11,3,0.372945638,5
11,4,0.149178255,5
11,6,1.566371681,5
11,12,0.820480405,5
11,15,1.193426043,5
3,4,1.640960809,5
3,12,0.149178255,5
4,6,0.372945638,5
4,12,0.372945638,5
4,15,0.372945638,5
6,12,0.522123894,5
6,15,0.522123894,5
12,15,0.149178255,5
5,9,0.114649682,6
5,10,0.229299363,6
5,11,0.458598726,6
5,6,0.343949045,6
9,14,0.802547771,6
9,10,1.261146497,6
9,11,0.573248408,6
9,4,0.343949045,6
9,6,0.114649682,6
14,10,4.47133758,6
14,11,1.605095541,6
14,3,0.458598726,6
14,4,0.229299363,6
10,11,1.719745223,6
10,3,0.458598726,6
11,3,0.458598726,6
3,6,1.49044586,6
4,6,2.866242038,6
1,2,2.070422535,7
1,8,0.690140845,7
1,18,5.866197183,7
1,7,0.345070423,7
1,16,1.38028169,7
1,20,2.76056338,7
1,6,0.345070423,7
2,13,0.345070423,7
2,7,0.345070423,7
2,16,0.690140845,7
2,20,1.035211268,7
2,10,0.690140845,7
2,11,0.690140845,7
2,4,1.035211268,7
2,15,0.690140845,7
8,18,0.345070423,7
8,6,0.690140845,7
13,18,1.725352113,7
13,4,0.345070423,7
18,7,1.035211268,7
18,16,1.725352113,7
18,20,1.035211268,7
18,3,1.035211268,7
18,4,1.38028169,7
18,6,0.345070423,7
18,12,0.345070423,7
18,15,0.345070423,7
7,3,0.345070423,7
16,20,1.38028169,7
16,3,0.345070423,7
16,4,0.345070423,7
20,17,0.345070423,7
20,10,0.690140845,7
20,4,0.345070423,7
20,6,1.035211268,7
20,15,0.345070423,7
17,5,0.690140845,7
17,9,3.450704225,7
17,14,0.345070423,7
17,11,0.690140845,7
17,3,4.14084507,7
5,10,0.345070423,7
5,11,1.035211268,7
5,9,0.345070423,7
9,10,1.38028169,7
9,11,0.345070423,7
10,11,0.345070423,7
3,4,0.690140845,7
4,12,0.690140845,7
1,2,0.304405875,8
1,7,1.217623498,8
1,16,0.608811749,8
1,20,0.608811749,8
1,9,6.544726302,8
1,14,0.304405875,8
1,10,0.761014686,8
1,3,6.08811749,8
1,4,0.304405875,8
1,6,0.152202937,8
1,12,1.67423231,8
1,15,0.304405875,8
2,8,0.761014686,8
2,13,0.304405875,8
2,18,0.761014686,8
2,7,1.065420561,8
2,17,0.304405875,8
2,5,6.849132176,8
2,9,0.761014686,8
2,14,1.065420561,8
2,11,0.152202937,8
2,3,0.304405875,8
2,4,1.826435247,8
2,12,0.304405875,8
2,15,1.522029373,8
8,13,0.152202937,8
8,18,0.456608812,8
8,7,0.761014686,8
8,16,0.152202937,8
8,9,0.913217624,8
8,11,0.456608812,8
8,4,3.500667557,8
8,12,0.761014686,8
8,15,0.913217624,8
13,7,5.327102804,8
13,20,0.152202937,8
13,17,0.608811749,8
13,4,0.152202937,8
13,12,0.456608812,8
18,16,0.761014686,8
18,20,0.456608812,8
18,9,0.304405875,8
18,11,0.608811749,8
18,4,0.456608812,8
18,6,0.304405875,8
18,12,0.152202937,8
18,15,0.152202937,8
7,16,1.217623498,8
7,20,0.608811749,8
7,9,0.456608812,8
7,10,0.304405875,8
7,11,0.456608812,8
7,6,0.152202937,8
7,12,0.608811749,8
7,15,0.913217624,8
16,20,0.913217624,8
16,17,0.456608812,8
16,5,0.761014686,8
16,9,1.217623498,8
16,14,0.304405875,8
16,10,0.761014686,8
16,11,0.456608812,8
16,3,0.152202937,8
16,4,0.152202937,8
16,6,3.196261682,8
16,12,1.522029373,8
20,17,0.152202937,8
20,9,1.369826435,8
20,14,1.065420561,8
20,10,0.761014686,8
20,11,0.304405875,8
20,3,0.152202937,8
20,4,0.152202937,8
20,6,0.456608812,8
20,12,0.456608812,8
20,15,0.152202937,8
17,9,0.608811749,8
