n1,n2,t
0,2,5580
0,2,5600
0,2,5620
0,2,5640
0,2,5660
0,2,5680
0,2,5700
0,2,5720
0,2,5740
0,2,5760
0,2,5780
0,2,5800
0,2,5820
0,2,5840
0,2,5860
0,2,5880
0,2,5900
0,2,5920
0,2,5940
0,2,5960
0,2,5980
0,2,6000
0,2,6020
5,19,6040
0,2,6040
0,2,6060
0,2,6080
5,15,6100
0,2,6100
0,2,6120
0,2,6140
5,19,6160
0,2,6160
11,5,6180
0,2,6180
0,2,6200
0,2,6220
9,4,6240
0,2,6240
0,2,6260
16,15,6260
9,14,6280
0,2,6280
0,2,6300
0,2,6320
0,2,6340
0,2,6360
0,2,6380
9,5,6400
0,2,6400
0,2,6420
0,2,6440
0,2,6460
0,2,6480
0,2,6500
0,2,6520
0,2,6540
0,2,6560
18,20,6580
0,2,6580
0,2,6600
0,2,6620
0,2,6640
0,2,6660
0,2,6680
0,2,6700
0,2,6720
0,2,6740
0,2,6760
0,2,6780
0,2,6800
0,2,6820
0,2,6840
0,2,6860
0,2,6880
0,2,6900
0,2,6920
0,2,6940
0,2,6960
0,2,6980
0,2,7000
0,2,7020
0,2,7040
0,2,7060
0,2,7080
0,2,7100
0,2,7120
0,2,7140
0,2,7160
0,2,7180
0,2,7200
0,2,7280
0,2,7300
0,2,7320
0,2,7340
0,2,7360
0,2,7380
0,2,7400
0,2,7420
0,2,7440
0,2,7460
0,2,7480
0,2,7500
0,2,7520
0,2,7540
0,2,7560
0,2,7580
0,2,7600
0,2,7620
0,2,7640
0,2,7660
0,2,7680
0,2,7700
0,2,7720
0,2,7740
0,2,7760
0,2,7780
0,2,7800
0,2,7820
11,2,7840
11,2,7860
0,2,7860
11,0,7860
9,2,7880
9,2,7900
9,2,7920
18,2,7920
0,19,7920
11,2,7940
11,20,7940
9,2,7940
0,19,7940
5,2,7960
0,2,8040
5,2,8060
0,2,8080
5,2,8080
0,2,8120
5,0,8160
0,2,8160
5,2,8160
9,5,8180
0,2,8320
5,0,8340
0,2,8340
0,2,8360
0,2,8380
0,2,8420
5,2,8420
15,20,8620
15,20,8740
15,20,8760
15,20,8780
9,18,8920
14,18,8940
9,18,8940
9,18,8960
18,21,9000
4,0,9060
5,0,9060
15,20,9060
5,2,9080
4,2,9100
4,0,9100
15,20,9100
5,2,9100
4,2,9120
4,0,9120
0,2,9120
5,2,9120
4,0,9140
15,20,9140
0,2,9140
5,2,9140
15,21,9160
4,0,9160
18,22,9160
5,2,9160
4,0,9180
18,21,9180
15,21,9200
9,14,9200
4,0,9200
15,20,9200
9,2,9220
18,2,9220
9,2,9240
9,2,9260
4,0,9280
18,15,9280
4,0,9300
4,0,9320
9,2,9320
15,20,9340
18,21,9340
4,0,9360
15,20,9360
18,21,9360
4,0,9380
18,21,9380
18,21,9400
18,21,9420
4,0,9440
18,21,9440
18,21,9460
4,0,9480
5,0,9480
18,21,9480
4,0,9500
5,0,9500
18,21,9500
18,21,9520
18,21,9540
18,21,9560
18,21,9580
4,0,9600
15,20,9600
5,2,9600
18,21,9600
4,0,9620
15,20,9620
5,2,9620
18,21,9620
4,0,9640
5,2,9640
18,21,9640
4,0,9660
5,2,9660
18,21,9660
5,2,9680
18,21,9680
5,2,9720
5,2,9740
15,20,9760
5,2,9760
11,2,9780
15,20,9780
5,2,9780
15,20,9800
5,2,9800
5,2,9820
18,21,9820
15,20,9840
18,21,9840
15,20,9860
5,2,9860
15,20,9880
5,2,9880
15,20,9900
5,2,9900
15,20,9920
15,20,9940
19,2,9940
15,20,9960
19,2,9960
15,20,9980
15,20,10000
0,2,10000
15,20,10020
15,20,10040
0,2,10040
15,20,10060
11,9,10060
0,2,10060
4,2,10080
4,0,10080
15,20,10080
4,2,10100
4,2,10120
4,0,10120
15,20,10120
4,2,10140
15,20,10140
0,2,10140
4,2,10160
15,20,10180
11,9,10180
4,2,10200
15,20,10200
4,2,10220
4,2,10240
4,2,10260
4,0,10280
4,0,10320
4,2,10380
4,2,10400
11,15,10420
4,2,10420
9,15,10420
11,15,10440
11,9,10440
9,15,10440
11,0,10480
11,15,10500
15,20,10520
0,2,10520
0,2,10540
0,2,10560
0,2,10580
0,2,10600
0,2,10620
0,2,10640
0,2,10660
0,2,10680
0,2,10700
0,2,10740
0,2,10760
0,2,10780
15,21,10800
0,2,10800
0,2,10860
0,2,10880
0,2,10900
0,15,10940
11,2,10960
0,23,10960
2,15,10980
0,24,10980
2,15,11000
15,20,11080
0,23,11180
19,2,11180
0,23,11200
0,23,11220
0,23,11240
0,23,11280
5,2,11280
5,2,11300
5,2,11320
5,2,11340
5,2,11360
0,23,11380
5,2,11380
0,23,11400
5,2,11400
5,2,11420
5,2,11440
5,2,11460
19,2,11460
5,21,11480
5,21,11500
0,23,11520
5,21,11520
0,23,11540
5,21,11540
5,21,11560
0,23,11580
5,24,11580
5,24,11600
0,23,11620
5,24,11620
5,0,11640
5,24,11640
0,23,11660
5,24,11660
5,24,11680
0,23,11700
5,24,11700
0,23,11720
0,23,11740
5,24,11740
0,23,11760
5,24,11760
0,23,11780
5,24,11780
5,24,11800
5,24,11820
5,24,11840
4,3,11840
5,24,11860
4,3,11860
5,24,11880
0,23,11900
4,2,11900
5,24,11900
0,23,11920
4,2,11920
4,2,11940
5,24,11940
4,2,11960
5,24,11960
5,24,11980
0,23,12000
5,24,12000
5,24,12020
0,23,12040
4,2,12060
5,24,12060
5,24,12080
5,24,12100
0,23,12120
5,24,12120
0,23,12140
5,24,12140
0,23,12160
5,24,12160
0,23,12180
5,24,12180
4,3,12180
5,24,12200
4,2,12220
15,20,12220
5,24,12220
3,2,12220
4,3,12220
4,2,12240
5,24,12240
4,3,12240
5,24,12260
4,3,12260
5,24,12280
14,25,12280
4,3,12280
5,24,12300
14,25,12300
4,3,12300
18,20,12320
5,24,12320
5,24,12340
5,24,12360
4,21,12380
4,0,12380
5,24,12380
4,0,12400
0,23,12440
0,24,12440
0,23,12480
5,24,12500
5,24,12520
5,24,12540
0,3,12560
5,24,12560
0,3,12580
5,24,12580
0,3,12600
0,3,12620
5,24,12620
4,19,12620
0,3,12640
5,24,12640
0,3,12660
5,24,12660
5,24,12700
5,24,12720
26,15,12740
5,24,12760
5,24,12780
5,24,12800
26,15,12860
4,0,12900
5,24,12900
5,24,12920
5,24,12940
5,24,12960
5,24,12980
5,24,13000
5,24,13020
4,3,13020
18,15,13040
18,15,13060
5,24,13060
18,15,13080
5,24,13080
18,15,13100
5,24,13100
18,15,13120
5,24,13120
18,15,13140
0,3,13160
5,21,13160
18,26,13160
5,21,13180
15,20,13200
4,3,13220
15,20,13260
18,26,13260
18,15,13320
18,15,13340
14,25,13340
18,15,13360
18,20,13380
18,20,13420
14,25,13420
18,20,13440
18,15,13440
18,20,13480
11,4,13500
18,20,13500
11,3,13520
18,15,13520
11,4,13540
18,15,13540
18,20,13560
18,15,13560
4,3,13560
18,15,13580
18,15,13600
18,15,13620
4,3,13620
18,20,13640
18,15,13640
14,21,13640
18,20,13660
14,21,13660
14,21,13680
5,3,13700
18,15,13700
14,21,13700
3,2,13700
18,15,13720
14,21,13720
18,15,13740
14,21,13740
18,26,13740
4,3,13740
18,15,13760
14,21,13760
4,3,13760
5,2,13780
18,15,13780
14,21,13780
18,26,13780
4,3,13780
5,2,13800
18,15,13800
18,26,13800
5,2,13820
18,15,13820
14,21,13820
5,2,13840
18,15,13840
5,2,13860
18,15,13860
18,20,13880
5,2,13880
5,2,13900
5,2,13920
5,2,13940
5,3,13940
3,2,13940
5,0,13960
5,2,13960
4,5,13960
3,2,13960
5,0,13980
0,2,13980
5,2,13980
3,2,13980
4,2,14000
5,0,14000
5,2,14000
4,5,14000
4,2,14020
5,0,14020
5,2,14020
4,5,14020
4,2,14040
4,5,14040
4,2,14060
5,0,14060
5,2,14060
4,5,14060
4,2,14080
5,2,14080
4,2,14100
5,0,14100
15,20,14100
5,2,14100
4,2,14120
4,2,14140
5,0,14140
5,2,14140
3,2,14140
5,2,14160
3,2,14160
3,2,14200
3,2,14220
4,3,14220
4,5,14240
5,3,14240
18,26,14240
4,3,14240
4,2,14260
4,0,14260
26,2,14260
18,20,14260
0,2,14260
4,5,14260
5,3,14260
18,15,14260
3,2,14260
4,2,14280
4,0,14280
0,2,14280
5,2,14280
3,2,14280
0,2,14300
3,2,14300
4,2,14320
0,2,14320
3,2,14320
4,2,14340
0,2,14340
4,2,14360
0,2,14360
4,3,14360
4,2,14380
0,2,14380
3,2,14380
4,3,14380
4,2,14400
0,2,14400
3,2,14400
4,0,14420
3,2,14420
4,0,14440
15,20,14440
3,2,14440
4,0,14460
4,2,14580
0,2,14580
3,2,14580
4,2,14600
0,2,14600
4,2,14620
4,2,14640
19,2,14640
4,2,14660
4,2,14680
4,2,14700
4,2,14720
4,2,14740
19,2,14740
4,2,14760
19,2,14760
19,2,14780
4,18,14800
19,2,14800
19,2,14820
3,2,14820
3,2,14840
3,2,14860
3,19,14880
15,20,14940
11,20,15040
11,15,15080
15,20,15080
11,27,15080
11,15,15100
15,20,15100
11,20,15120
11,15,15380
11,15,15420
14,28,15540
4,0,15580
4,0,15620
0,3,15640
14,28,15680
0,3,15800
0,2,15820
0,2,15840
0,3,15860
0,2,15860
2,15,15880
3,2,15880
0,2,15900
3,2,15900
0,3,15920
0,2,15920
3,2,15920
3,2,15940
3,2,15960
3,2,15980
3,2,16000
26,20,16020
3,2,16020
3,2,16040
3,2,16060
18,27,16080
3,2,16080
20,25,16100
3,2,16100
26,20,16120
3,2,16120
20,25,16140
3,2,16140
26,20,16160
3,2,16160
3,2,16180
20,25,16200
26,20,16200
14,28,16200
18,15,16200
3,2,16200
20,25,16220
11,18,16220
3,2,16220
26,25,16240
3,2,16240
26,15,16260
3,2,16260
15,20,16280
3,2,16280
3,2,16300
15,29,16320
26,15,16320
3,2,16320
15,29,16340
0,18,16340
3,18,16340
11,14,16340
0,2,16360
26,15,16360
3,2,16360
26,20,16380
26,15,16380
3,2,16380
26,20,16400
26,15,16400
20,29,16400
3,2,16400
26,20,16420
26,15,16420
3,2,16420
26,20,16440
18,27,16440
26,15,16440
11,3,16460
4,21,16460
26,20,16460
20,29,16460
11,3,16480
26,20,16480
26,20,16500
11,4,16500
26,29,16500
26,15,16500
20,29,16500
11,4,16520
26,29,16520
15,20,16540
11,4,16540
11,4,16560
3,2,16580
15,30,16600
15,20,16600
26,15,16600
3,2,16600
4,0,16620
18,25,16620
3,2,16620
4,0,16640
15,20,16640
18,25,16640
3,2,16640
4,0,16660
3,2,16660
4,2,16680
4,0,16680
15,20,16680
3,2,16680
4,0,16700
15,20,16700
26,15,16700
3,2,16700
4,0,16720
15,20,16720
3,2,16720
15,20,16740
3,2,16740
4,0,16760
15,20,16760
3,2,16760
4,3,16760
15,20,16780
27,23,16780
26,15,16780
3,2,16780
15,20,16800
27,23,16800
26,15,16800
3,2,16800
26,20,16820
15,20,16820
3,2,16820
15,20,16840
3,2,16840
4,2,16860
15,20,16860
3,2,16860
4,2,16880
26,20,16880
15,20,16880
26,15,16880
3,2,16880
4,3,16880
4,2,16900
26,20,16900
15,20,16900
26,15,16900
3,2,16900
4,2,16920
15,20,16920
4,2,16940
15,20,16940
3,2,16940
4,31,16960
15,20,16960
26,15,16960
3,2,16960
15,20,16980
26,15,16980
26,20,17000
15,20,17000
15,20,17020
26,15,17020
15,20,17040
19,28,17040
15,20,17060
27,23,17060
15,20,17080
3,2,17080
15,20,17100
3,2,17100
3,2,17120
26,15,17140
19,2,17160
15,28,17180
15,20,17180
20,28,17180
15,28,17200
15,20,17200
26,15,17200
15,28,17220
26,15,17240
26,15,17260
26,15,17280
26,15,17300
3,19,17320
26,15,17320
3,19,17340
26,15,17340
27,23,17360
26,15,17360
26,15,17380
26,15,17400
32,2,17420
26,15,17420
33,19,17440
32,2,17440
26,15,17440
33,19,17460
32,2,17460
26,15,17460
33,19,17480
32,2,17480
26,15,17480
33,19,17500
32,2,17500
26,15,17500
32,2,17520
26,15,17520
26,15,17540
33,19,17560
26,15,17560
32,2,17580
26,15,17580
32,2,17600
26,15,17600
27,23,17620
32,2,17620
26,15,17620
27,23,17640
32,2,17640
26,15,17640
26,15,17660
15,20,17700
15,28,17720
26,28,17720
15,20,17720
26,15,17720
15,28,17740
27,23,17740
26,15,17740
15,28,17760
4,2,17760
27,23,17760
32,2,17760
26,15,17760
15,28,17780
4,2,17780
15,20,17780
33,19,17780
32,2,17780
26,15,17780
33,2,17800
32,2,17800
33,2,17820
4,2,17820
20,28,17820
4,2,17840
15,20,17840
20,28,17840
33,19,17840
26,15,17840
4,2,17860
33,19,17860
4,2,17880
33,19,17880
4,2,17900
32,2,17900
4,2,17920
32,2,17920
4,2,17940
15,20,17940
32,2,17940
4,2,17960
32,2,17960
33,2,17980
4,2,17980
32,2,17980
4,19,18000
4,2,18020
4,2,18040
4,2,18060
26,20,18100
15,20,18140
15,20,18160
4,2,18180
18,15,18200
15,20,18220
18,15,18220
15,20,18240
18,15,18240
15,20,18260
15,20,18280
32,2,18280
18,15,18300
33,0,18320
0,2,18320
32,0,18320
32,2,18320
32,2,18340
32,2,18360
15,21,18380
0,2,18380
32,0,18380
32,2,18380
32,2,18400
20,34,18420
0,2,18420
32,2,18420
26,15,18420
20,34,18440
0,2,18440
14,26,18440
26,15,18440
20,29,18440
4,0,18460
3,2,18480
14,20,18500
0,2,18500
15,21,18540
26,21,18540
0,2,18540
15,24,18560
4,2,18560
20,34,18560
0,2,18560
20,34,18580
26,21,18580
20,34,18600
4,0,18600
0,2,18600
20,34,18620
4,0,18620
0,2,18620
20,34,18640
4,0,18640
4,0,18660
20,34,18700
4,0,18720
26,21,18740
0,2,18740
15,21,18780
4,0,18780
15,21,18800
0,2,18800
0,2,18820
15,21,18840
0,2,18840
0,2,18860
0,2,18900
27,35,18900
3,2,18900
4,0,18920
0,2,18920
19,2,18920
4,2,18940
4,0,18940
15,20,18940
15,34,18940
0,2,18940
27,35,18940
4,0,18980
0,2,18980
4,0,19000
4,0,19020
4,0,19040
4,0,19060
4,0,19080
0,2,19080
4,19,19080
4,0,19100
0,2,19100
4,19,19100
0,2,19120
4,19,19120
0,2,19140
4,19,19140
4,0,19180
4,19,19180
4,0,19200
27,35,19200
18,15,19200
4,19,19200
20,34,19220
4,0,19220
26,21,19220
0,2,19220
4,19,19220
26,21,19240
4,19,19240
4,0,19260
26,21,19260
0,2,19260
4,19,19260
26,21,19280
0,2,19280
4,19,19280
26,21,19300
0,2,19300
4,2,19320
26,21,19320
0,2,19320
18,15,19320
4,2,19340
26,21,19340
0,2,19340
4,2,19360
0,2,19360
0,2,19380
0,2,19400
26,15,19400
0,3,19420
26,15,19420
4,2,19440
4,0,19440
4,2,19460
4,0,19460
3,2,19460
4,3,19460
4,2,19480
0,2,19480
4,2,19500
4,0,19500
4,2,19520
4,0,19520
0,2,19520
4,2,19540
20,34,19540
4,2,19560
20,34,19560
4,2,19580
4,2,19600
4,2,19620
4,2,19640
15,34,19640
0,21,19640
4,2,19660
0,2,19680
4,2,19700
0,2,19700
0,2,19720
0,2,19740
0,2,19780
18,15,19780
0,2,19800
20,34,19820
4,0,19820
0,2,19820
19,2,19820
4,19,19820
20,34,19840
0,2,19840
19,2,19840
4,2,19860
19,2,19860
0,19,19860
4,2,19880
4,0,19880
0,2,19880
19,2,19880
0,2,19900
15,36,19900
4,2,19920
4,0,19920
15,36,19920
26,20,19940
0,2,19940
15,36,19940
18,28,19940
27,37,19960
15,36,19960
18,28,19960
0,2,20000
18,15,20000
4,2,20020
4,0,20020
0,2,20020
4,2,20040
4,0,20040
4,2,20060
4,0,20060
26,20,20060
18,20,20060
0,2,20060
18,15,20060
15,21,20080
4,2,20080
4,0,20080
15,20,20080
18,20,20080
18,15,20080
26,15,20080
4,0,20100
18,15,20100
18,21,20100
26,15,20100
4,2,20120
4,0,20120
4,2,20140
18,21,20140
15,21,20160
15,20,20160
15,21,20180
27,37,20180
26,20,20180
14,22,20200
20,21,20200
26,20,20200
18,25,20200
20,21,20220
26,20,20220
18,21,20220
3,2,20220
18,20,20240
18,21,20240
4,3,20240
0,2,20300
26,37,20340
18,26,20360
18,15,20380
26,15,20380
18,15,20400
26,15,20400
15,38,20420
15,38,20440
15,38,20460
14,29,20500
26,15,20520
15,20,20540
18,20,20580
2,27,20660
15,20,20680
26,15,20680
18,26,20680
18,26,20700
18,20,20740
15,20,20760
18,20,20760
26,20,20780
15,20,20780
15,20,20800
14,28,20800
18,15,20800
15,20,20820
18,20,20820
18,15,20820
26,15,20820
15,20,20840
18,15,20840
18,26,20840
15,20,20860
18,15,20860
26,15,20860
18,20,20880
18,15,20880
15,27,20900
18,15,20900
15,20,20920
14,34,20940
15,20,20940
18,15,20960
15,27,20980
26,15,21000
18,20,21120
15,27,21140
15,27,21160
26,15,21200
26,15,21260
18,20,21280
15,27,21300
26,15,21300
15,27,21320
18,20,21320
26,15,21320
15,27,21340
18,20,21340
15,27,21360
18,20,21360
18,15,21360
18,26,21360
14,15,21400
15,20,21400
26,15,21400
15,27,21420
14,26,21420
15,27,21440
26,15,21440
26,15,21460
18,26,21460
18,20,21480
18,20,21500
18,20,21520
18,20,21540
26,20,21560
15,27,21580
18,20,21580
18,20,21600
18,20,21620
18,20,21640
18,26,21640
18,20,21660
18,26,21660
18,20,21680
18,20,21700
18,20,21720
18,26,21720
18,26,21740
18,15,21780
18,20,21840
18,20,21860
18,20,21880
18,20,21900
18,20,21920
18,20,21940
18,26,21940
18,20,21960
18,26,21960
18,26,21980
18,20,22020
18,15,22020
18,20,22040
18,15,22040
18,26,22040
18,15,22060
18,15,22080
18,26,22080
18,15,22100
18,26,22100
26,20,22120
18,20,22120
18,26,22120
18,26,22140
18,26,22160
18,26,22200
18,26,22220
26,20,22240
18,26,22240
18,15,22260
18,26,22260
18,15,22280
18,26,22280
18,15,22300
18,26,22300
18,26,22320
18,26,22340
18,15,22400
15,27,22440
15,27,22460
26,15,22460
15,27,22480
18,20,22480
26,15,22480
18,15,22500
26,15,22500
26,15,22520
18,26,22520
26,15,22540
18,15,22560
26,15,22560
26,15,22580
18,26,22580
15,20,22620
26,15,22620
18,20,22640
18,15,22640
26,15,22740
26,15,22760
15,20,22780
14,20,22800
15,20,22800
26,15,22820
14,26,22840
18,21,22840
26,15,22840
26,27,22880
15,20,22900
18,21,22900
15,20,22920
15,27,22940
26,15,22980
26,15,23000
26,20,23040
26,15,23080
26,24,23140
20,24,23180
18,35,23180
26,20,23180
26,24,23180
20,24,23200
18,35,23200
26,20,23200
26,24,23200
20,24,23220
26,24,23220
20,24,23240
26,20,23260
26,24,23260
26,20,23280
14,15,23300
18,28,23440
26,20,23460
18,28,23460
20,23,23500
27,37,23540
26,20,23540
27,37,23580
26,20,23620
15,21,23640
26,20,23640
15,21,23660
26,20,23680
15,21,23700
26,20,23700
26,20,23820
18,15,23820
15,21,23880
26,37,23880
26,37,23900
15,21,23920
15,21,23940
26,20,23940
15,21,23960
26,20,23960
14,15,23980
15,21,23980
20,37,23980
26,20,23980
14,15,24000
20,37,24000
26,20,24000
26,20,24020
26,37,24020
14,15,24040
26,20,24040
26,37,24040
26,20,24060
26,20,24080
26,37,24080
14,15,24100
15,21,24120
15,21,24140
14,15,24200
14,15,24220
14,15,24240
14,15,24260
15,21,24260
14,15,24280
15,21,24300
15,21,24320
15,21,24340
15,21,24360
26,20,24360
14,21,24360
15,21,24380
14,21,24380
14,21,24400
18,26,24460
15,25,24480
14,27,24520
18,20,24520
15,25,24520
15,25,24540
26,20,24560
26,20,24580
15,29,24600
26,20,24600
15,29,24620
26,20,24620
15,29,24640
26,20,24640
15,29,24660
26,20,24660
15,29,24680
26,20,24680
27,30,24700
15,29,24720
15,29,24740
14,15,24760
15,29,24760
26,39,24780
15,29,24780
26,39,24800
15,29,24800
20,39,24800
26,39,24820
20,39,24820
15,29,24840
20,39,24840
20,39,24860
15,29,24880
27,30,24900
20,39,24920
26,20,24940
20,39,24940
26,20,24980
20,39,24980
26,20,25000
20,39,25000
27,30,25020
26,20,25020
20,39,25020
26,20,25040
15,34,25040
20,39,25040
26,39,25060
20,39,25060
14,15,25080
20,39,25080
14,15,25100
26,20,25100
20,39,25100
14,34,25120
26,20,25120
15,34,25120
20,39,25120
26,20,25140
15,34,25140
20,39,25140
14,34,25160
20,39,25160
15,34,25180
20,39,25180
14,15,25200
15,34,25200
27,30,25220
27,30,25240
26,20,25240
27,30,25260
26,31,25280
26,20,25300
27,30,25340
14,30,25380
14,30,25400
26,15,25400
15,20,25420
27,30,25440
27,30,25460
14,30,25460
27,30,25480
26,28,25480
27,30,25500
26,36,25500
14,30,25500
20,36,25520
26,20,25540
20,36,25540
26,20,25560
20,36,25560
15,38,25580
26,20,25580
14,15,25600
15,38,25600
26,20,25600
27,30,25620
14,15,25620
26,20,25620
27,30,25640
15,38,25640
26,20,25640
26,36,25640
20,36,25640
27,30,25660
14,15,25660
15,38,25660
20,36,25660
27,30,25680
26,20,25680
20,36,25680
27,30,25700
27,30,25720
14,15,25720
15,38,25720
27,30,25740
14,15,25740
15,38,25740
26,20,25740
14,15,25760
15,38,25760
27,30,25780
14,15,25780
27,30,25800
14,15,25820
20,30,25820
27,30,25840
14,15,25840
15,38,25840
20,27,25840
14,38,25840
20,30,25840
27,30,25860
20,27,25860
20,30,25860
27,30,25880
15,38,25880
20,27,25880
14,38,25880
20,30,25880
27,30,25900
20,27,25900
20,30,25900
27,30,25920
14,15,25920
15,38,25920
20,27,25920
27,30,25940
20,27,25940
20,30,25940
27,30,25960
27,30,25980
20,30,25980
20,30,26040
20,30,26060
15,20,26100
26,15,26100
26,15,26120
20,30,26140
27,30,26160
20,27,26160
20,30,26160
27,30,26180
20,27,26180
26,15,26180
27,30,26200
20,27,26200
20,30,26200
27,30,26220
14,15,26220
27,30,26240
20,27,26240
27,30,26260
20,27,26260
20,30,26260
20,30,26280
27,30,26300
14,38,26320
15,20,26420
15,35,26440
15,35,26460
15,35,26480
15,35,26540
14,15,26680
15,35,26680
15,20,26800
21,25,26900
26,15,26900
15,35,26940
15,35,26960
15,35,26980
15,20,27020
15,20,27040
27,37,27080
15,20,27140
15,20,27200
15,20,27220
15,20,27240
15,20,27300
15,20,27320
14,38,27320
27,39,27380
27,39,27420
14,15,27460
15,20,27620
27,24,27880
14,15,28120
15,20,28240
15,20,28280
15,20,28320
15,20,28340
15,20,28360
15,20,28380
26,15,29180
26,15,29220
26,15,29240
26,15,29340
26,15,29980
26,15,30300
40,41,31960
40,41,31980
40,41,32360
40,41,32380
40,41,32400
40,41,32420
40,41,32480
40,41,32500
40,41,32520
40,41,32540
40,41,32720
40,41,32760
40,41,32780
40,41,32800
40,41,32820
40,41,33040
40,41,33520
40,41,33540
40,41,33560
40,41,33580
40,41,33600
40,41,33620
40,41,33640
40,41,33820
41,36,33840
41,36,33860
41,36,33920
41,36,34040
41,28,34140
40,41,34160
40,41,34200
40,39,34460
40,41,34480
41,39,34580
41,35,34780
41,35,34820
41,37,34980
41,37,35020
41,37,35040
41,37,35060
40,41,35060
41,37,35080
41,37,35100
40,41,35100
41,37,35120
40,41,35120
41,37,35140
40,41,35140
40,37,35220
40,37,35240
40,41,35400
41,38,35500
41,38,35520
40,41,35540
41,38,35540
40,38,35540
40,38,35560
40,41,35580
40,41,35600
41,38,35600
40,41,35620
41,34,35700
41,34,35720
41,34,35740
41,34,35760
41,34,35820
40,34,35820
41,34,35840
40,41,35840
40,41,35860
40,41,35900
40,41,35920
41,34,35980
40,41,36000
40,41,36040
40,41,36060
40,34,36060
40,41,36080
40,34,36080
41,34,36100
40,34,36100
40,34,36200
40,41,36220
40,41,36260
40,34,36260
41,34,36280
41,29,36280
29,34,36280
40,34,36320
40,34,36340
40,41,36360
40,41,36380
41,30,36500
41,30,36520
41,30,36540
41,30,36560
41,30,36580
41,30,36600
41,30,36660
41,30,36680
40,41,36700
41,30,36700
40,41,36720
40,41,36740
41,30,36740
40,41,36760
41,30,36780
41,30,36800
41,30,36820
40,41,36840
41,30,36840
40,41,36860
41,30,36860
41,30,36880
40,41,36900
41,25,36920
40,41,36940
41,25,36940
40,41,36980
40,41,37020
41,42,37040
